time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	-0.021042857272578708	-0.019916938673004037	-0.01343767702851828	85.04716219752567	0.9950135632176076	-0.03332995523490334	-0.030938946070757867	-0.035885617005787296	0.0013067273435898679	2.0
1.0	-0.011497491842142882	-0.007367506873523499	-0.0025477977563714838	85.39972226918485	1.0025275547192944	-0.028825365020911153	-0.032986096871238324	-0.029210529546046082	-0.0028232576250294783	2.0
2.0	-0.0023311572317377127	-0.005139098586699031	-0.009072941440959159	85.30656088687236	0.9974690486732977	-0.03919096731429006	-0.0407719996062641	-0.03900071666369653	-1.5316270068427742e-05	2.0
3.0	-0.00631093757559098	-0.007461358798690476	-0.007908115810879357	85.64488266472947	0.9988308397956789	-0.029566079785784183	-0.039352767338949324	-0.029830899772421482	0.0011351049530312336	2.0
4.0	-0.01263961161526339	-0.010188998272366412	-0.013404451084283009	86.39976286700372	0.9988308397956789	-0.04613876214353008	-0.04813348458305944	-0.04545597129674883	-0.0013155083898656844	2.0
5.0	0.016662222318235553	0.014861656682900737	0.0019880460974617264	85.25173287249683	0.9950135632176076	-0.027439286971443266	-0.04348814895252895	-0.02778265732367391	0.00048505724546930054	3.0
6.0	-0.022475154025924038	-0.02218840168208791	-0.0048455470243995435	85.59425571670093	0.9999950537866926	-0.05975761531780721	-0.044955472258454865	-0.05665001662844782	0.00019830490163284556	2.0
7.0	-0.0006299687783188901	-0.000439503796976215	0.004015341587872534	84.66807627239812	0.9999950537866926	-0.057840150000446844	-0.04521314246007657	-0.058130538659474595	7.839920290324609e-06	2.0
8.0	-0.00996347240848472	-0.009636659223853483	-0.011150916798870147	85.43847488934802	1.0025275547192944	-0.04755987055129629	-0.04292638223042844	-0.04209120763387797	-0.00031897326434100515	2.0
9.0	-0.016925983160547275	-0.018036042397153507	-0.009192450511154027	85.72479672789918	1.0011606406084814	-0.0582284060749263	-0.04957103498521098	-0.05632724579304549	0.0007910859722653243	1.0
10.0	-0.013846041388010821	-0.015252757794940619	-0.01044830406352637	86.39854470749363	1.0025275547192944	-0.06834206528316789	-0.05094639760777819	-0.07173065732477357	0.0021978023791949827	0.0
11.0	-0.005878425948487198	-0.0019175664333197506	-0.01688751340647343	86.89094420202936	0.9950135632176076	-0.06279827291779716	-0.05992579520337227	-0.06483336166165099	-0.0017630571359724227	1.0
12.0	-0.0008373963730912148	-0.004478984687104726	-0.0017737300389373267	86.75231781970571	0.9974690486732977	-0.057088259332535474	-0.048295074158026585	-0.060763518864079824	0.00187853117804109	1.0
13.0	-0.004397104072500602	-0.0029362522241973554	0.0028852942259853798	86.3980433616658	1.0025275547192944	-0.07488616823963357	-0.04739782602950293	-0.07592762510154949	0.0004176793297379892	1.0
14.0	-0.005327496602143933	-0.005723029335342744	-0.01249940684881512	86.45713248220939	0.9950135632176076	-0.0584207958928884	-0.05505168585391851	-0.06001774534113369	0.0008132120629366457	1.0
15.0	-0.00342818956056834	-0.0005385440469860558	0.004919559091641101	85.6735825100244	0.9974690486732977	-0.05851983614289824	-0.05414746835014994	-0.06010090706592064	-0.00207643345064563	1.0
16.0	0.009742737016188219	0.007419424990166235	-0.00140583748730716	85.38409806287758	0.9988308397956789	-0.04146375192887852	-0.044402389038586954	-0.04465382185459377	0.00024687857537645803	2.0
17.0	-0.005002509869231009	-0.00746769911956191	-0.009092858865603404	85.7215847226873	0.9988308397956789	-0.030895408651286926	-0.04430279739303633	-0.03441363040412715	0.002712067825707234	2.0
18.0	-0.014833693769037204	-0.010148954271854693	-0.008027484919634453	86.4955202356305	1.0050032991989473	-0.025791605128201	-0.041881978249144414	-0.020249555649390016	-0.001972671671475179	2.0
19.0	-0.006656643143521546	-0.005016246746415209	-0.004675160368120768	86.41022424896094	1.0050032991989473	-0.02889028544129646	-0.02966962521079175	-0.027935636148668674	-0.0036130680685815845	2.0
20.0	-0.010046527698365226	-0.010474667465336651	-0.022139540607808206	87.15101738477361	0.9950135632176076	-0.034885968219528385	-0.05003543577966263	-0.030472333327638212	-0.0031849283016101284	2.0
21.0	-0.01605537370035215	-0.01972637970179303	-0.001722418951097815	87.67019226898324	1.0050032991989473	-0.05167609569712406	-0.054643148956745824	-0.049340933530189535	0.0004860776998308697	1.0
22.0	-0.0005983157036217879	-0.004469282088904736	-0.007252760230228805	87.53274805935825	1.0011606406084814	-0.05042234845068605	-0.04939650233815951	-0.04960202983854267	0.004357044085113648	1.0
23.0	-0.02028780808854691	-0.017983610709598308	-0.012666002618467287	88.63681353196685	1.0050032991989473	-0.0678674151132983	-0.0669820640482679	-0.06440736561359817	0.0020528467061650263	0.0
24.0	0.0016494716724355651	0.0006466418385997486	-0.012531533072038581	88.67870845299889	0.9974690486732977	-0.07464019826486479	-0.07810775963299932	-0.07638183887688066	0.003055676540000943	1.0
25.0	0.002102217357610181	0.004976760387379819	-0.004496663723586369	88.75409206418006	0.9999950537866926	-0.06219573875792306	-0.07351156449098228	-0.05816851716281701	0.00018113351023127063	2.0
26.0	-0.01758726557924306	-0.019960100740779474	-0.014893891300209905	89.23188442329977	0.9950135632176076	-0.07200688522684784	-0.08037797087155774	-0.07186847674996888	0.0025539686717678234	1.0
27.0	-0.0021270099395291897	0.0009224956841904497	-0.010117979939945121	89.9760845078337	0.9988308397956789	-0.06606814279624218	-0.08582079044338209	-0.06769719239236305	-0.000495536951951836	2.0
28.0	-0.0010563742197340353	-0.002672160339129759	0.0017647793214106144	89.38602019029965	1.0011606406084814	-0.05826563567003529	-0.06191647051416327	-0.059143047451636566	0.0011202491674437408	2.0
29.0	-0.006945402937984735	-0.00533679790890651	-0.007982746020567033	89.24007699913972	0.9974690486732977	-0.04387605387714877	-0.06817679758363249	-0.03735153248988632	-0.0004883558616344287	2.0
30.0	-0.019071907564405688	-0.018556742933331982	-0.010289705851910247	89.47315364700266	0.9950135632176076	-0.057963514721576015	-0.07121374320531393	-0.057293707094873136	-0.0010035204927080852	1.0
31.0	-0.003452891783418899	-0.004698854127485275	-0.00396093685462473	89.29195339610102	0.9950135632176076	-0.04467875813946298	-0.06250867744147137	-0.046212912699443276	0.0002424418513581938	1.0
32.0	0.0023767895016308938	0.0034890846726129965	-0.005773482716905365	89.59844035754205	0.9988308397956789	-0.041836315305449734	-0.055750627086338156	-0.03991818720632301	-0.0008698533196237529	2.0
33.0	0.0006417198113235489	-0.002618554049535593	0.002962309902338367	89.01947828634094	1.0025275547192944	-0.049431629742365146	-0.04829165346041342	-0.05152466848924897	0.0023904205412351824	2.0
34.0	-0.014020777346917424	-0.011986622253791213	0.0015404470981588148	88.1934621615494	1.0011606406084814	-0.041458151255376885	-0.0318573150620447	-0.04872521070091951	0.00035626544810902046	1.0
35.0	0.005299976648770688	0.004925107317939936	-0.01210412589600618	88.25830873672454	0.9950135632176076	-0.0374555396216274	-0.03384346101810576	-0.03710214142531876	0.0007311347789398813	2.0
36.0	0.003300341232032711	0.004648289062580746	-0.012205634805229737	88.80060773705684	0.9950135632176076	-0.030135090219916894	-0.04781387514474611	-0.029598331836018232	-0.000616813051608131	3.0
37.0	-0.0222881425367627	-0.02520037698656319	-0.008200203006687001	89.55356089238121	1.0011606406084814	-0.04999866929757357	-0.04803133213086608	-0.0548324214701581	0.002295421398192272	2.0
38.0	-0.01576763019870797	-0.012134989901073867	-0.0026772195339910265	88.69692561290975	0.9950135632176076	-0.04357691626531546	-0.04041884581294686	-0.045574487051271984	-0.0013372188994417184	1.0
39.0	-0.0032374958411414134	-0.005780877163872322	-0.00160977240536897	88.74610988054019	0.9999950537866926	-0.044658939301702505	-0.0380676813636911	-0.04235421317193877	0.001206162423289177	1.0
40.0	-0.006324891368250096	-0.004477728844227924	0.0004536608790821628	88.60630368421342	1.0050032991989473	-0.052625752818543425	-0.03184053776770357	-0.051867659063217664	-0.0006410001007330009	1.0
41.0	-0.01397954788868172	-0.012904317955231726	-0.012686354285776025	88.81055600613416	0.9988308397956789	-0.06291151672423956	-0.04748920195581796	-0.060164167883853814	-0.0017162300341830928	0.0
42.0	-0.004303233265072759	-0.005125503956920685	0.0001920086334419313	88.82760959033567	1.0050032991989473	-0.05605039842736903	-0.048837640420534845	-0.05205676045599872	-0.0008939593423351229	0.0
43.0	-0.004274590726269789	-0.0036986603002127083	-0.002799305874834568	88.60526803580993	1.0050032991989473	-0.06467416604552167	-0.03953282039936323	-0.06439306016536306	-0.0014698897683923014	0.0
44.0	-9.72859335113263e-05	-0.0011786030884644028	-0.002850499676288143	87.94060370630467	0.9999950537866926	-0.07050105819656682	-0.03017768527042164	-0.0734643671579025	-0.0003885726134390957	0.0
45.0	-0.007851072883632071	-0.007620077679891146	-0.01031377638809472	88.3544181445685	0.9988308397956789	-0.05292075888989478	-0.03229125865182936	-0.052804599740806646	-0.0006195678171801635	0.0
